freq,crops,strucpro,geo\TIME_PERIOD,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
A,ARA,MA,AL,519.3,400.6,395.6,399.3,384.8,: ,: ,578,611,630,626,621.5,613.1,: ,408.9,413,620.3,612,611,610.2,599.6,599.9,598.1,590.7,: ,: 
A,ARA,MA,AT,1381.1,1379,1378.4,1379.3,1378,1379.4,1376.8,1375.5,1368.4,1365.9,1363.79,1359.69,1355.12,1353.97,1351.66,1346.02,1336.49,1328.87,1327.15,1325.53,1321.71,1322.92,1320.59,1321.78,: ,: 
A,ARA,MA,BA,662.04 e,653.56 e,636.37 e,605.95 e,613.28 e,609.53 e,611.29 e,619.80 e,610.62 e,583.18 e,568.37 e,579.81 e,581.98 e,573.93 e,560.14 e,578.35 e,595.37 e,594.00 e,597.29 e,604.95 e,618.45 e,611.06 e,369.63 b,370.45 e,: ,: 
A,ARA,MA,BE,867,845.9,833.1,832.9,840,843.3,841.7,839.6,845.4,839.7,836.38,826.43,804.51,818,819,836.37,855.41,841.91,856.83,863.55,869.34,870.42,868.41,865.48,: ,: 
A,ARA,MA,BG,3467.5,3399.1,3331,3282.2,3296.8,: ,3099,3057.7,3060.5,3122.5,3162.52,3227.24,3294.69,3462.12,3469.39,3494.08,3481.49,3474.32,3463.67,3462.11,3478.01,3487.75,3456.14,3473.81,: ,: 
A,ARA,MA,CH,: ,: ,: ,: ,: ,406.75,407.5,407.2,406.91,406.81,405.39,404.74,404.84,404.98,402.36,400.48,399.81,399.31,399.22,399.85,400.89,396.53,397.69,397.53,: ,: 
A,ARA,MA,CY,89.3,88.3,86.6,114.3,112.55,123.89,114.71,112.22,93.35,87.08,82.73,84.12,85.49,79.13,78.71,98.24,84.46,94.62,104.54,96.4,99.39,93.47,93.86,93.21 p,: ,: 
A,ARA,MA,CZ,3099.15,3083.77,2774.59 b,2754.58,2726.19,2709.54,2635.14,2624.48,2598.44,2580.08,2546.53,2520.61,2517.43,2504.93,2492.57,2495.93,2497.39,2501.99,2489.99,2490.11,2489.78,2480.94,2484.91,2529.85,: ,: 
A,ARA,MA,DE,11800.3,11809.7,11790.9,11826.9,11898.7,11903.3,11866.1,11877,11932.5,11945.1,11846.67,11874.1,11834,11875.9,11869.2,11846.4,11763,11771.9,11730.9,11713.7,11663.8,11657.9,11657,11681.4,: ,: 
A,ARA,MA,DK,2468.1,2493.6,2478.8,2445.7,2470.2,2480.8,2475.8,2451.3,2452.7,2406.9,2446.5,2453.25,2435.42,2405.7,2428.7,2348.69,2371.7,2368.7,2389.8,2394.4,2369.3,2357.95,2382.88,2366.11,: ,: 
A,ARA,MA,EE,843.9,676.4,613.2,543.9,510.1,585.1,553.3,593.9,592.3,590.9,640,627.4,616.5,628.3,644.3,665.9,686.56,675.14,679.15,685.94,693.64,698.88,706.57,710.59,: ,: 
A,ARA,MA,EL,2102.9,2249.5,2155.7,2090.28,2091.74,2145.48,1922.95,2026.68,1844.53,2019.67,1864.25,1772.79,1766.56,1895.56,2016.97,1956.65,1978.05,1897.78,1849.64,1815.81,1764.95,1753.14,1755.18,1716.44,: ,: 
A,ARA,MA,ES,13248.7,12940.5,12893.2,12986.1,12889.4,12704.4,12742.6,13196.8,12492.8,12550,12689.73,12621.16,12521.89,12310.53,12485.54,12656.83,12474.73,12295.64,12125.53,12023.57,11869.7,11732.66,11690.56,11487.39,: ,: 
A,ARA,MA,EU,73720.21,73490.04,72584.87,72244.1,96934.47,96243.64,: ,107051.77,106320.32,: ,105846.61,105317.94,104797.47,105122.18,106579.21,106148.09,105771.94,105691.67,105061.78,105600.26,97569.97,97494.65,97226.84,97106.68,: ,: 
A,ARA,MA,EU27_2020,107852.87,: ,: ,103911.31,103603.94,: ,: ,101721.3,101143.43,: ,100770.2,100142.16,99444.98,99725.04,100339.21,100131.09,99740.94,99602.67,99017.78,99508.26,97569.97,97494.65,97226.84,97106.68,: ,: 
A,ARA,MA,EU28,114304.07,: ,: ,110265.51,109986.84,: ,: ,107898.5,107175.73,: ,106746.2,106210.16,105700.98,105997.04,106579.21,106148.09,105771.94,105691.67,105061.78,105600.26,: ,: ,: ,: ,: ,: 
A,ARA,MA,FI,2177.8,2185.2,2216.7,2211.8,2218.8,2234.7,2258.7,2255.3,2257.4,2256.6,2253.3,2249.5,2248.2,1969.1,2231.3,2240.9,2243.9,2242.4,2242.6,2244.9,2242.7,2242.8,2240.8,2248,: ,: 
A,ARA,MA,FR,18311.3,18300.2,18318.1,18304.6,18308.1,18374.5,: ,18292.5,18267.5,: ,18701.48,18275.89,18358.49,18553.63,18564.7,18579.81,18613.63,18607.87,18229.91,18210.62,17044.03 b,17072.01,17045.66,16954.71,: ,: 
A,ARA,MA,HR,836.43,848.64,852.22,858.91,840.59,864.83,873.03,846.73,855.42,863.02,899.59,892.22,903.51,874.86,811.07,841.94,882.69,815.32,803.9,822.81,888.93,856.74,851.47,866.32,: ,: 
A,ARA,MA,HU,4499.8,4516.1,4958.7,4497.7,4499.6,4503,4500,4493.8,4487.8,4487.4,4308.38,4313.57,4314.97,4325.71,4331.33,4331.7,4332.38,4325.38,4333.7,4309.64,4101.77,4141.84,4159.81,4150.96,: ,: 
A,ARA,MA,IE,1073.6,1187.3,518,531.23,520.85,488.1,467.68,465.75,487.14 b,464.67,435.43,458.95,481.41,474.14,464.01,454,459.86,460.3,449.94,441.78,442.9,434.94,445.2,440.73,: ,: 
A,ARA,MA,IS,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,34,34,37,37,37,: ,19.1,19.5,19.1,20.71,21.89,19.85,18.13,: ,: 
A,ARA,MA,IT,8423.7,8285.9,8240.8,7958.9,8032,7743.6,7376.6,7380.8,7314.4,: ,7014.89,6896,6496.1,6827,6728.06,6601.69,6696.71,6884.18,6722.14,6914.14,6908.71,6905.95,7011.15,7055.82,: ,: 
A,ARA,MA,LT,1681.70 d,: d,: d,1518.90 b,1610.4,1900.5,1876.6,1833.4,1859.3,2051.5,2125.2,2183.5,2258.2,2288.3,2348,2169.82,2140.56,2101.5,2113.28,2209.9,2247.33,2277.03,2290.44,2300.97,: ,: 
A,ARA,MA,LU,67.9,61.4,61.5,61.9,61.6,60,59.9,61.1,61.7,61.8,61.96,62.14,62.56,62.61,62.7,62.9,61.98,62.18,62.28,62.14,62.32,62.71,62.31,61.65,: ,: 
A,ARA,MA,LV,969.9,958.2,972.8,956.4,1008.6,1091.8,1205.1,1188.1,1169.9,1167.6,1173.4,1158,1178.1,1207.9,1209.1,1229.8,1288,1289.7,1294.8,1318.6,1333.5,1362.2,1356.7,1359.9,: ,: 
A,ARA,MA,ME,: ,: ,: ,: ,: ,: ,: ,4.44,4.52,4.6,4.43,5.72,5.72,5.81,6.9,6.85,7.10 p,7.16 p,7.20 p,7.21 p,7.06 p,6.88 p,6.72 p,7.11 p,: ,: 
A,ARA,MA,MK,497.5,496.1,499.6,470.9,461.4,447.56,438.93,431.61,423.65,420.16,415.01,414.83,414.08,412.97,413.25,414.98,417.43,416.67,418.14,418.82,424.86,425.48,423.85,424.01,: ,: 
A,ARA,MA,MT,8.7,8.7,8.6,9.29,9.29,8.2,8.2,8.02,8.02,8.02,9.08,9.08,9.08,8.97,8.97,8.97,9.23,9.23,9.23,9.23,7.77,7.78,7.78,7.48,: ,: 
A,ARA,MA,NL,1018.4,1004.8,1011.2,1087.1,1116.6,1099.3,1054.1,1040.5,1056.4,1044.4,1012.35,995.78,1001,1028.6,1035.5,1033.03,1028.17,1036.69,1020.79,1011.1,1004.83,1003.45,1003.75,1008.9,: ,: 
A,ARA,MA,NO,879.6,881.7,878.8,871.9,869.7,862.2,858.9,853.6,845.1,: ,830.1,822.4,816.3,810.8,811.1,810.2,804.96,801.33,803.05,801.83,804.31,803.83,804.07,804.69,: ,: 
A,ARA,MA,PL,14062.8,14045.6,13038.3,12554,12605.5,12084.7,12357.4,11748,11972.7,11997.8,10877.6,11044.4,10871.4,10759.6,10895.1,10887,10805.6,10914.9,11009.21,11054.84,11149.64,11078.76,11164.92,11140.34,: ,: 
A,ARA,MA,PT,1728.91,1607.44,1615.27,1531.6,1461.65,1283.94,1220.53,1127.35,1199.82,1181.3,1128.96,1109.24,1107.37,1138.52,1098.13,1069.96,980.54,986.77,960.44,997.76,972.91,967.77,932.56,847.33,: ,: 
A,ARA,MA,RO,9365.79,9371.93,9377.01,9378.44,8914.98,8985.32,8939.41,8675.24,8720.71,8788.93,9146.46,8994.77,8797.65,8746.38,8777.54,8778.19,8582.03,8543.26,8685.63,8966.31,8482.86,8587.74,8210.72,8406.56,: ,: 
